0	19191504.100931	44139.205767	28730.523593	146.740000
1	19191504.100931	46430.140266	28025.672124	149.933000
2	19191504.100931	42208.433388	30286.287871	101.236000
3	19191504.100931	48401.439210	31225.271048	127.818000
4	19191504.100931	48976.988788	32245.785530	130.774000
5	19191504.100931	43417.347512	28675.551733	90.264000
6	19191504.100931	46196.698716	31686.149750	121.079000
7	19191504.100931	46521.676979	29790.795342	97.345000
8	19191504.100931	44741.742834	29446.520585	130.469000
9	19191504.100931	45040.614041	27203.432197	124.956000
10	19191504.100931	48748.347371	28279.451777	131.255000
11	19191504.100931	51479.396029	31504.550759	135.725000
12	19191504.100931	43055.462766	27368.591818	99.245000
13	19191504.100931	46608.456500	28791.840523	113.561000
14	19191504.100931	48473.620346	33163.181917	121.240000
15	19191504.100931	48557.888736	29698.076137	139.245000
16	19191504.100931	48494.503744	28614.425639	145.983000
17	19191504.100931	46362.329136	29355.788049	181.168000
18	19191504.100931	49138.873640	30662.240086	120.729000
19	19191504.100931	44407.999594	29110.760643	166.396000
